,row_no,FIPS,date,rainfall,county_name
201,201,26001,2016-10-01,71.30000000000001,Alcona
202,202,26001,2016-11-01,37.1,Alcona
203,203,26001,2016-12-01,38.6,Alcona
204,204,26001,2017-01-01,39.6,Alcona
205,205,26001,2017-02-01,48.3,Alcona
206,206,26001,2017-03-01,76.75,Alcona
207,207,26001,2017-04-01,123.45,Alcona
208,208,26001,2017-05-01,58.1,Alcona
209,209,26001,2017-06-01,127.45,Alcona
210,210,26001,2017-07-01,99.2,Alcona
211,211,26001,2017-08-01,84.5,Alcona
212,212,26001,2017-09-01,43.35,Alcona
213,213,26001,2017-10-01,132.75,Alcona
214,214,26001,2017-11-01,38.9,Alcona
215,215,26001,2017-12-01,13.45,Alcona
216,216,26001,2018-01-01,42.35,Alcona
217,217,26001,2018-02-01,63.1,Alcona
218,218,26001,2018-03-01,18.35,Alcona
219,219,26001,2018-04-01,97.25,Alcona
220,220,26001,2018-05-01,69.9,Alcona
221,221,26001,2018-06-01,17.6,Alcona
222,222,26001,2018-07-01,134.35,Alcona
223,223,26001,2018-08-01,84.06666666666666,Alcona
224,224,26001,2018-09-01,71.25,Alcona
225,225,26001,2018-10-01,141.55,Alcona
226,226,26001,2018-11-01,42.15,Alcona
227,227,26001,2018-12-01,45.3,Alcona
228,228,26001,2019-01-01,51.45,Alcona
229,229,26001,2019-02-01,45.0,Alcona
230,230,26001,2019-03-01,29.6,Alcona
231,231,26001,2019-04-01,66.4,Alcona
232,232,26001,2019-05-01,108.8,Alcona
233,233,26001,2019-06-01,97.55,Alcona
234,234,26001,2019-07-01,47.2,Alcona
235,235,26001,2019-08-01,22.4,Alcona
236,236,26001,2019-09-01,65.25,Alcona
237,237,26001,2019-10-01,64.85,Alcona
238,238,26001,2019-11-01,84.15,Alcona
239,239,26001,2019-12-01,85.65,Alcona
240,240,26001,2020-01-01,36.9,Alcona
241,241,26001,2020-02-01,18.9,Alcona
242,242,26001,2020-03-01,39.4,Alcona
243,243,26001,2020-04-01,71.7,Alcona
244,244,26001,2020-05-01,119.05,Alcona
245,245,26001,2020-06-01,39.85,Alcona
246,246,26001,2020-07-01,83.65,Alcona
247,247,26001,2020-08-01,104.15,Alcona
248,248,26001,2020-09-01,40.3,Alcona
249,249,26001,2020-10-01,70.9,Alcona
250,250,26001,2020-11-01,48.0,Alcona
251,251,26001,2020-12-01,30.6,Alcona
252,252,26001,2021-01-01,15.15,Alcona
253,253,26001,2021-02-01,19.25,Alcona
254,254,26001,2021-03-01,25.85,Alcona
255,255,26001,2021-04-01,21.1,Alcona
256,256,26001,2021-05-01,65.05,Alcona
257,257,26001,2021-06-01,88.55000000000001,Alcona
258,258,26001,2021-07-01,132.15,Alcona
259,259,26001,2021-08-01,82.6,Alcona
260,260,26001,2021-09-01,74.7,Alcona
261,261,26001,2021-10-01,72.6,Alcona
262,262,26001,2021-11-01,13.05,Alcona
263,263,26001,2021-12-01,50.150000000000006,Alcona
264,264,26001,2022-01-01,7.199999999999999,Alcona
265,265,26001,2022-02-01,27.75,Alcona
266,266,26001,2022-03-01,97.7,Alcona
267,267,26001,2022-04-01,61.400000000000006,Alcona
268,268,26001,2022-05-01,73.19999999999999,Alcona
269,269,26001,2022-06-01,60.35,Alcona
270,270,26001,2022-07-01,,Alcona
271,271,26001,2022-08-01,103.0,Alcona
272,272,26001,2022-09-01,26.5,Alcona
273,273,26001,2022-10-01,63.9,Alcona
274,274,26001,2022-11-01,46.1,Alcona
275,275,26001,2022-12-01,47.1,Alcona
276,276,26001,2023-01-01,55.15,Alcona
277,277,26001,2023-02-01,57.95,Alcona
278,278,26001,2023-03-01,53.7,Alcona
279,279,26001,2023-04-01,108.6,Alcona
280,280,26001,2023-05-01,36.05,Alcona
281,281,26001,2023-06-01,38.5,Alcona
282,282,26001,2023-07-01,132.2,Alcona
283,283,26001,2023-08-01,81.05000000000001,Alcona
284,284,26001,2023-09-01,39.4,Alcona
285,285,26001,2023-10-01,69.44999999999999,Alcona
286,286,26001,2023-11-01,37.8,Alcona
287,287,26001,2023-12-01,29.6,Alcona
288,288,26003,2000-01-01,71.06666666666666,Alger
289,289,26003,2000-02-01,27.8,Alger
290,290,26003,2000-03-01,62.16666666666666,Alger
291,291,26003,2000-04-01,25.600000000000005,Alger
292,292,26003,2000-05-01,44.833333333333336,Alger
293,293,26003,2000-06-01,122.13333333333333,Alger
294,294,26003,2000-07-01,66.8,Alger
295,295,26003,2000-08-01,20.83333333333333,Alger
296,296,26003,2000-09-01,115.33333333333331,Alger
297,297,26003,2000-10-01,88.13333333333333,Alger
298,298,26003,2000-11-01,85.93333333333334,Alger
299,299,26003,2000-12-01,101.36666666666667,Alger
300,300,26003,2001-01-01,39.8,Alger
301,301,26003,2001-02-01,60.95,Alger
302,302,26003,2001-03-01,29.4,Alger
303,303,26003,2001-04-01,56.4,Alger
304,304,26003,2001-05-01,95.53333333333336,Alger
305,305,26003,2001-06-01,76.26666666666667,Alger
306,306,26003,2001-07-01,77.39999999999999,Alger
307,307,26003,2001-08-01,89.5,Alger
308,308,26003,2001-09-01,115.5,Alger
309,309,26003,2001-10-01,130.26666666666668,Alger
310,310,26003,2001-11-01,68.39999999999999,Alger
311,311,26003,2001-12-01,65.26666666666667,Alger
312,312,26003,2002-01-01,28.8,Alger
313,313,26003,2002-02-01,48.1,Alger
314,314,26003,2002-03-01,76.26666666666667,Alger
315,315,26003,2002-04-01,71.5,Alger
316,316,26003,2002-05-01,71.10000000000001,Alger
317,317,26003,2002-06-01,96.83333333333331,Alger
318,318,26003,2002-07-01,111.9,Alger
319,319,26003,2002-08-01,118.73333333333332,Alger
320,320,26003,2002-09-01,100.1,Alger
321,321,26003,2002-10-01,160.5,Alger
322,322,26003,2002-11-01,60.13333333333333,Alger
323,323,26003,2002-12-01,35.86666666666667,Alger
324,324,26003,2003-01-01,78.86666666666666,Alger
325,325,26003,2003-02-01,51.56666666666666,Alger
326,326,26003,2003-03-01,60.0,Alger
327,327,26003,2003-04-01,66.76666666666667,Alger
328,328,26003,2003-05-01,80.39999999999999,Alger
329,329,26003,2003-06-01,39.2,Alger
330,330,26003,2003-07-01,105.1,Alger
331,331,26003,2003-08-01,38.93333333333333,Alger
332,332,26003,2003-09-01,160.63333333333333,Alger
333,333,26003,2003-10-01,75.43333333333334,Alger
334,334,26003,2003-11-01,66.53333333333333,Alger
335,335,26003,2003-12-01,69.93333333333334,Alger
336,336,26003,2004-01-01,96.83333333333331,Alger
337,337,26003,2004-02-01,41.66666666666666,Alger
338,338,26003,2004-03-01,78.53333333333333,Alger
339,339,26003,2004-04-01,58.86666666666667,Alger
340,340,26003,2004-05-01,102.33333333333331,Alger
341,341,26003,2004-06-01,85.53333333333335,Alger
342,342,26003,2004-07-01,80.33333333333333,Alger
343,343,26003,2004-08-01,120.66666666666669,Alger
344,344,26003,2004-09-01,34.46666666666667,Alger
